emotion,kind,layer,alpha,sigma,dose,s_base_final,s_final,ds_final,I_final,s_base_anchor,s_anchor,ds_anchor,I_anchor,n_samples
anger,attention,0,0.7,0.024746809686933244,0.01732276678085327,-1.8761841503583736,-1.8760007670983112,0.00018338326006239747,0.010586256940495769,,,,,478
anger,attention,1,0.7,0.03355450857253302,0.02348815600077311,-1.8761841503583736,-1.8760438837017475,0.00014026665662614235,0.005971803687846993,,,,,478
anger,attention,2,0.7,0.04446781249273391,0.031127468744913737,-1.8761841503583736,-1.8755427605188042,0.0006413898395694062,0.02060526812589636,,,,,478
anger,attention,3,0.7,0.05272324879964193,0.03690627415974935,-1.8761841503583736,-1.8757353401021977,0.0004488102561759355,0.012160811850940405,,,,,478
anger,attention,4,0.7,0.07425630660284133,0.05197941462198893,-1.8761841503583736,-1.8739506169280746,0.002233533430298973,0.04296957644756003,,,,,478
anger,attention,5,0.7,0.09585160300845191,0.06709612210591634,-1.8761841503583736,-1.8752265475908583,0.0009576027675153309,0.014272103028602488,,,,,478
anger,attention,6,0.7,0.10027883166358584,0.07019518216451008,-1.8761841503583736,-1.8761322216197038,5.192873866977088e-05,0.0007397763930303678,,,,,478
anger,attention,7,0.7,0.12613108044578916,0.08829175631205241,-1.8761841503583736,-1.8741685836010897,0.002015566757283871,0.02282848185916914,,,,,478
anger,attention,8,0.7,0.13033072153727213,0.09123150507609049,-1.8761841503583736,-1.872856288774243,0.0033278615841305648,0.03647710932045902,,,,,478
anger,attention,9,0.7,0.13836706252325148,0.09685694376627603,-1.8761841503583736,-1.8670083817453065,0.009175768613067126,0.09473526890554207,,,,,478
anger,attention,10,0.7,0.1499653316679455,0.10497573216756186,-1.8761841503583736,-1.865391467810924,0.010792682547449584,0.1028112147884079,,,,,478
anger,attention,11,0.7,0.15608846573602586,0.1092619260152181,-1.8761841503583736,-1.8611455948781768,0.015038555480196836,0.1376376568549803,,,,,478
anger,attention,12,0.7,0.1668252490815662,0.11677767435709634,-1.8761841503583736,-1.8349531900496163,0.04123096030875728,0.3530722848844931,,,,,478
anger,attention,13,0.7,0.19299743289039248,0.13509820302327472,-1.8761841503583736,-1.7783488764361357,0.0978352739222379,0.7241789434118738,,,,,478
anger,attention,14,0.7,0.21573316483270555,0.15101321538289386,-1.8761841503583736,-1.745451267419001,0.13073288293937257,0.8657049160094994,,,,,478
anger,attention,15,0.7,0.25008533114478704,0.17505973180135093,-1.8761841503583736,-1.6999950704464852,0.17618907991188837,1.0064512158159762,,,,,478
anger,attention,16,0.7,0.2807611737932478,0.19653282165527344,-1.8761841503583736,-1.632859379021942,0.2433247713364317,1.2380872023668048,,,,,478
anger,attention,17,0.7,0.29693485441662015,0.20785439809163408,-1.8761841503583736,-1.5701152661106077,0.3060688842477659,1.4725157949885346,,,,,478
anger,attention,18,0.7,0.3229855128696987,0.22608985900878906,-1.8761841503583736,-1.501797684004616,0.3743864663537575,1.6559188810817187,,,,,478
anger,attention,19,0.7,0.3499829428536551,0.24498805999755857,-1.8761841503583736,-1.428862747599889,0.44732140275848464,1.8258906281511942,,,,,478
anger,attention,20,0.7,0.3824343000139509,0.2677040100097656,-1.8761841503583736,-1.3500449843860571,0.5261391659723165,1.9653764840994474,,,,,478
anger,attention,21,0.7,0.3979862758091518,0.27859039306640626,-1.8761841503583736,-1.2827158954976492,0.5934682548607244,2.13025384087549,,,,,478
anger,attention,22,0.7,0.44934290931338355,0.31454003651936846,-1.8761841503583736,-1.1693530467389517,0.7068311036194219,2.247189615163338,,,,,478
anger,attention,23,0.7,0.5047627403622582,0.35333391825358074,-1.8761841503583736,-1.08973711566945,0.7864470346889236,2.2257898097530115,,,,,478
anger,attention,24,0.7,0.556824457077753,0.38977711995442704,-1.8761841503583736,-1.0387764277567924,0.8374077226015813,2.1484270875096296,,,,,478
anger,attention,25,0.7,0.6123204912458148,0.4286243438720703,-1.8761841503583736,-1.0108147158782352,0.8653694344801384,2.0189460697977095,,,,,478
anger,attention,26,0.7,0.7091385977608817,0.4963970184326172,-1.8761841503583736,-0.9812561023559531,0.8949280480024205,1.8028473475287432,,,,,478
anger,attention,27,0.7,0.7923965454101562,0.5546775817871094,-1.8761841503583736,-1.0037361558324123,0.8724479945259613,1.5728921145776815,,,,,478
anger,mlp,0,0.7,0.028173367182413738,0.019721357027689616,-1.8761841503583736,-1.8759746464538274,0.00020950390454621548,0.0106231992175824,,,,,478
anger,mlp,1,0.7,0.03440512929643903,0.024083590507507323,-1.8761841503583736,-1.8760076221312438,0.00017652822712976857,0.007329813512430437,,,,,478
anger,mlp,2,0.7,0.047152962003435404,0.03300707340240478,-1.8761841503583736,-1.8768108815079454,-0.0006267311495717909,-0.018987783070950164,,,,,478
